Unnamed: 0,Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
94,shamar bailey,Lightweight,5.75,155,75,37,12,5,0
95,oluwale bamgbose,Middleweight,5.92,185,78,32,6,4,0
96,marcin bandel,Lightweight,5.83,155,70,30,13,4,0
97,humberto bandenay,Featherweight,5.92,145,71,25,14,7,0
98,tae hyun bang,Lightweight,5.75,155,71,36,18,10,0
99,antonio banuelos,Bantamweight,5.42,135,63,40,19,7,1
100,renan barao,Bantamweight,5.5,135,70,32,36,8,0
101,maycee barber,Women's Flyweight,5.42,125,65,21,8,0,0
102,bryan barberena,Welterweight,6.0,170,72,30,14,7,0
103,edson barboza,Lightweight,5.92,155,75,33,20,8,0
104,raoni barcelos,Bantamweight,5.58,135,67,32,14,1,0
105,luke barnatt,Middleweight,6.5,185,77,31,8,3,0
106,josh barnett,Heavyweight,6.25,250,78,41,35,8,0
107,phil baroni,Middleweight,5.75,170,72,43,14,15,0
108,peter barrett,Lightweight,5.83,155,73,33,8,2,0
109,marc-andre barriault,Middleweight,6.08,185,74,29,11,3,0
110,francimar barroso,Light Heavyweight,6.08,205,75,39,19,7,0
111,pat barry,Heavyweight,5.92,235,74,40,8,7,0
112,enrique barzola,Featherweight,5.58,145,70,30,17,4,1
113,shayna baszler,Women's Bantamweight,5.58,135,67,39,15,10,0
114,danaa batgerel,Women's Bantamweight,5.58,135,70,30,6,2,0
115,mario bautista,Bantamweight,5.75,135,69,26,7,1,0
116,chris beal,Bantamweight,5.58,125,69,34,10,3,0
117,ariel beck,Women's Flyweight,5.5,125,66,29,4,5,0
118,johnny bedford,Bantamweight,5.83,135,71,36,19,13,1
119,chase beebe,Bantamweight,5.58,135,67,34,19,8,1
120,mirsad bektic,Featherweight,5.67,145,70,28,13,2,0
121,diana belbita,Women's Flyweight,5.58,125,68,23,13,5,0
122,alan belcher,Middleweight,6.17,185,73,35,17,7,0
123,vitor belfort,Middleweight,6.0,185,74,42,26,14,0
124,danilo belluardo,Lightweight,6.0,155,74,25,12,5,0
125,joey beltran,Heavyweight,6.08,185,75,37,15,9,0
126,marco beltran,Catch Weight,5.67,125,69,33,8,7,0
